City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
campbell river,50.02,-125.24,39.99,93,90,8.05,1608584906
jaque,7.52,-78.17,81.97,74,86,3.33,1608585154
pochutla,15.74,-96.47,89.01,48,5,9.17,1608585154
salisbury,51.07,-1.8,55.4,93,100,20.8,1608584857
erenhot,43.65,111.98,8.67,91,0,12.68,1608585154
balykshi,47.07,51.87,1.4,84,48,8.95,1608585154
ubinskoye,55.31,79.68,2.07,93,100,12.01,1608585154
bambous virieux,-20.34,57.76,78.01,83,40,9.17,1608585154
kapaa,22.08,-159.32,80.6,74,20,14.99,1608585154
terra rica,-22.71,-52.62,82.98,77,99,10.13,1608585155
tecolutilla,18.28,-93.32,78.8,78,75,6.93,1608585155
tautira,-17.73,-149.15,80.6,78,75,11.41,1608585155
nikolskoye,59.7,30.79,33.8,86,75,6.71,1608585155
busselton,-33.65,115.33,55.99,76,0,1.99,1608585156
jamestown,42.1,-79.24,36.0,95,90,9.17,1608584935
kloulklubed,7.04,134.26,80.6,83,75,4.7,1608585156
burnie,-41.07,145.92,55.99,93,100,10.0,1608585156
naze,28.37,129.48,60.8,67,75,11.41,1608585156
tanout,14.97,8.89,70.07,21,0,9.08,1608585028
mar del plata,-38.0,-57.56,64.4,59,0,8.05,1608585156
port elizabeth,-33.92,25.57,69.8,88,100,8.05,1608585151
mercedes,-34.65,-59.43,87.01,30,0,1.99,1608585156
haines junction,60.75,-137.51,14.0,92,93,1.23,1608585157
nikel,69.41,30.22,33.8,86,75,24.16,1608584869
bandarbeyla,9.49,50.81,74.86,79,86,23.29,1608585157
carnwath,55.7,-3.63,41.0,100,90,5.82,1608585157
khatanga,71.97,102.5,-27.47,85,81,8.72,1608585157
rio grande,-32.03,-52.1,77.0,47,40,11.41,1608584929
neiafu,-18.65,-173.98,82.4,78,75,10.29,1608585157
bathsheba,13.22,-59.52,84.2,70,75,16.11,1608585157
jaru,-10.44,-62.47,82.51,72,84,2.42,1608585157
lompoc,34.64,-120.46,75.99,13,1,6.96,1608585073
cherskiy,68.75,161.3,-32.53,84,39,3.56,1608585157
vaini,-21.2,-175.2,82.4,78,40,9.17,1608585157
arlit,18.74,7.39,71.49,21,23,3.09,1608585158
cidreira,-30.18,-50.21,71.8,57,0,16.28,1608585158
san quintin,30.48,-115.95,69.21,30,0,6.15,1608585158
luderitz,-26.65,15.16,63.77,92,5,7.11,1608585158
bethel,41.37,-73.41,42.8,60,1,5.82,1608585158
kyshtovka,56.55,76.63,-1.75,92,93,7.87,1608585158
saint-augustin,51.23,-58.65,33.71,96,100,10.13,1608585158
yertsevo,60.8,40.09,32.47,97,100,8.97,1608585159
butaritari,3.07,172.79,80.1,82,100,12.35,1608585159
avarua,-21.21,-159.78,82.4,69,95,3.36,1608584972
clyde river,70.47,-68.59,3.2,91,90,21.92,1608585159
ola,59.58,151.28,-1.55,87,99,12.77,1608585159
barcelos,41.54,-8.62,59.0,93,75,14.99,1608585159
marfino,55.7,37.38,34.0,98,90,11.18,1608585159
serebryanyy bor,56.8,124.8,-10.55,89,100,1.88,1608585159
sur,22.57,59.53,70.93,71,0,7.58,1608585159
goderich,43.75,-81.72,35.6,83,100,6.93,1608585159
gornopravdinsk,60.05,69.9,-13.41,89,94,2.93,1608585159
provideniya,64.38,-173.3,-0.4,70,20,29.08,1608585159
takoradi,4.88,-1.76,80.31,82,1,9.22,1608585159
te anau,-45.42,167.72,57.36,88,91,1.05,1608585067
sinnamary,5.38,-52.95,80.2,81,85,7.0,1608585160
dunedin,-45.87,170.5,57.0,94,85,5.01,1608585160
tuktoyaktuk,69.45,-133.04,-31.0,66,20,9.17,1608585160
leningradskiy,69.38,178.42,-10.17,88,100,1.39,1608585160
merauke,-8.47,140.33,76.82,89,100,10.89,1608585160
boden,65.83,21.69,35.6,93,90,3.36,1608585160
bengkulu,-3.8,102.27,75.83,80,84,4.61,1608585160
samarai,-10.62,150.67,82.78,76,69,0.94,1608585160
dhidhdhoo,6.88,73.1,82.09,74,98,10.8,1608585076
rawson,-43.3,-65.1,62.04,52,2,19.89,1608585160
thompson,55.74,-97.86,-5.8,76,90,4.7,1608585161
airai,-8.93,125.41,62.44,100,100,3.06,1608585161
rikitea,-23.12,-134.97,76.14,79,9,19.37,1608585161
esso,55.93,158.7,4.51,87,100,4.0,1608585161
torbay,47.67,-52.73,36.0,91,90,9.17,1608585161
sisophon,13.59,102.97,60.8,67,100,8.59,1608585161
namibe,-15.2,12.15,69.24,81,100,6.87,1608585161
paamiut,61.99,-49.67,29.05,92,100,30.51,1608585108
severo-kurilsk,50.68,156.12,27.18,90,92,14.85,1608585161
kirakira,-10.45,161.92,83.8,68,33,1.81,1608585161
marawi,8.0,124.29,73.0,92,52,4.0,1608585162
hilo,19.73,-155.09,78.8,74,40,6.93,1608585162
acajutla,13.59,-89.83,87.8,43,20,3.36,1608585162
dingle,11.0,122.67,75.15,92,69,5.41,1608585162
mahebourg,-20.41,57.7,77.0,83,40,9.17,1608585162
shihezi,44.3,86.03,10.78,83,1,2.73,1608585162
petropavl,54.88,69.16,3.13,95,95,7.38,1608585162
grimshaw,56.18,-117.6,21.2,73,75,12.75,1608585162
chumikan,54.72,135.31,-9.45,85,0,18.28,1608585162
lerici,44.08,9.91,53.01,88,100,5.64,1608585162
touros,-5.2,-35.46,82.4,69,20,16.11,1608585162
adrar,20.5,-10.07,61.88,31,0,12.17,1608585162
qaanaaq,77.48,-69.36,-2.07,69,49,5.28,1608585163
kluang,2.03,103.33,77.0,94,20,3.36,1608585163
belaya gora,68.53,146.42,-31.18,85,100,2.26,1608585163
binahaan,13.99,121.76,75.99,91,100,1.01,1608585163
chuy,-33.7,-53.46,65.28,64,0,14.2,1608585163
drabiv,49.96,32.15,22.87,97,0,5.3,1608585163
ojinaga,29.57,-104.42,64.99,14,1,1.66,1608585163
tura,25.52,90.22,56.79,69,0,2.86,1608585163
cruz,-2.92,-40.17,80.94,71,95,14.85,1608585163
skjervoy,70.03,20.97,42.22,76,100,13.73,1608585163
todos santos,23.45,-110.22,75.99,48,40,4.0,1608585167
isangel,-19.55,169.27,78.8,83,75,7.85,1608585167
matay,28.42,30.78,56.26,63,11,8.21,1608585167
lavrentiya,65.58,-171.0,-8.91,88,67,16.28,1608585167
yulara,-25.24,130.99,68.0,37,100,10.29,1608585167
esmeraldas,-19.76,-44.31,77.0,94,40,8.05,1608585167
saldanha,-33.01,17.94,66.2,77,0,4.7,1608585167
codrington,-38.27,141.97,55.02,91,83,13.22,1608585167
coihaique,-45.58,-72.07,66.2,48,0,29.97,1608585000
husavik,66.04,-17.34,28.4,79,90,9.17,1608585167
la ronge,55.1,-105.28,12.2,85,98,2.24,1608585167
lensk,60.73,114.93,-16.51,86,82,1.57,1608585168
eugene,44.05,-123.09,60.01,82,90,16.11,1608585142
puro,12.48,123.38,78.58,85,95,7.29,1608585168
ludvika,60.15,15.19,41.0,86,77,9.17,1608584903
pacific grove,36.62,-121.92,59.0,44,1,3.36,1608585141
dikson,73.51,80.55,-25.74,86,60,7.45,1608585168
sao filipe,14.9,-24.5,73.74,75,0,8.7,1608585169
rasshevatskaya,45.57,41.03,30.97,93,100,15.12,1608585169
tricase,39.93,18.36,50.0,100,75,2.24,1608585169
north platte,41.12,-100.77,53.6,34,1,5.82,1608585169
ostrovnoy,68.05,39.51,34.79,89,62,12.59,1608585169
mandan,46.83,-100.89,42.8,48,1,9.17,1608584956
pisco,-13.7,-76.22,73.4,73,0,21.92,1608584950
buraydah,26.33,43.98,59.0,82,0,9.17,1608585169
ruwi,23.6,58.55,69.8,83,0,2.24,1608585169
pamfila,39.16,26.52,50.0,81,0,5.82,1608585170
grand gaube,-20.01,57.66,78.01,78,2,8.01,1608585170
opuwo,-18.06,13.84,65.68,48,97,11.45,1608585170
ancud,-41.87,-73.82,64.4,59,40,8.05,1608585170
iqaluit,63.75,-68.51,15.8,85,90,11.41,1608585170
lake wales,27.9,-81.59,69.8,56,1,11.41,1608585019
komsomolskiy,40.43,71.72,33.8,86,90,2.21,1608585170
port lincoln,-34.73,135.87,57.56,68,0,15.88,1608585170
vila franca do campo,37.72,-25.43,60.8,82,40,18.34,1608585170
zomin,39.96,68.4,30.61,95,99,3.2,1608585170
saint-philippe,-21.36,55.77,77.0,69,0,9.17,1608585170
kahului,20.89,-156.47,82.4,61,20,17.22,1608585170
carnarvon,-24.87,113.63,75.2,57,0,6.93,1608585172
bratsk,56.13,101.61,8.6,84,100,4.47,1608585175
wewak,-3.55,143.63,77.05,83,100,12.59,1608585175
sao jose da coroa grande,-8.9,-35.15,78.76,74,0,10.67,1608585175
sankt johann im pongau,47.35,13.2,30.0,96,100,5.1,1608585175
alofi,-19.06,-169.92,80.6,83,40,9.17,1608585175
yellowknife,62.46,-114.35,-16.01,68,90,8.05,1608585175
kavaratti,10.57,72.64,81.1,65,100,7.05,1608585175
georgetown,5.41,100.34,78.8,83,20,9.98,1608585175
casablanca,33.59,-7.62,60.01,100,0,1.12,1608585175
aklavik,68.22,-135.01,-29.2,73,75,5.82,1608585175
karratha,-20.74,116.85,83.88,67,28,3.94,1608585176
mama,58.31,112.9,-9.71,83,47,3.47,1608585176
teya,60.38,92.63,-6.0,87,100,7.76,1608585176
ponta do sol,32.67,-17.1,62.6,72,40,6.93,1608585176
victoria,22.29,114.16,60.01,64,80,1.01,1608585005
souillac,-20.52,57.52,77.0,83,40,9.17,1608585176
laguna,38.42,-121.42,44.6,93,90,3.36,1608585176
tessalit,20.2,1.01,60.49,32,0,13.31,1608585176
meulaboh,4.14,96.13,76.82,88,68,4.21,1608585176
nha trang,12.25,109.18,78.8,69,75,24.16,1608585176
longonjo,-12.91,15.25,59.13,65,99,2.1,1608585176
mount gambier,-37.83,140.77,55.4,87,90,11.41,1608585177
huittinen,61.18,22.7,41.0,93,90,5.82,1608585177
rawah,34.48,41.91,54.1,63,23,7.14,1608585180
jalingo,8.88,11.37,77.94,18,70,3.15,1608585180
klaksvik,62.23,-6.59,42.8,87,100,4.7,1608585180
petropavlovsk-kamchatskiy,53.05,158.65,17.6,57,100,6.71,1608585180
tual,-5.67,132.75,81.93,74,100,7.07,1608584952
narsaq,60.92,-46.05,21.2,73,100,4.7,1608585181
upernavik,72.79,-56.15,17.49,80,100,4.21,1608585181
palmer,42.16,-72.33,37.0,80,75,2.01,1608585162
aden,12.78,45.04,78.24,76,94,15.39,1608585084
constitucion,-35.33,-72.42,67.44,52,0,18.88,1608585181
tuatapere,-46.13,167.68,62.01,93,100,1.01,1608585181
vaxjo,56.88,14.81,39.2,100,80,6.93,1608585181
kisaran,2.98,99.62,73.49,94,99,3.6,1608585181
sola,-13.88,167.55,81.0,82,0,12.46,1608585181
pangnirtung,66.15,-65.71,15.8,52,90,19.46,1608585182
ambulu,-8.35,113.61,76.91,86,100,2.8,1608585182
tiksi,71.69,128.87,-22.22,88,100,3.13,1608585182
san pedro,14.35,121.02,77.0,88,20,6.31,1608585182
teguise,29.06,-13.56,64.4,77,20,6.93,1608585182
carutapera,-1.2,-46.02,79.74,75,81,6.24,1608585182
banyo,6.75,11.82,67.5,28,7,1.14,1608585182
east london,-33.02,27.91,72.5,91,100,7.81,1608585182
quatre cocos,-20.21,57.76,78.01,83,40,9.17,1608585183
cananea,30.95,-110.3,66.0,8,51,5.01,1608585183
buala,-8.14,159.59,82.92,75,0,0.78,1608585183
kautokeino,69.01,23.04,24.64,91,86,3.62,1608585183
gwadar,25.12,62.33,70.83,38,0,13.87,1608585183
honningsvag,70.98,25.97,37.4,80,100,6.93,1608585183
westport,41.14,-73.36,39.0,100,58,6.4,1608585004
imbituba,-28.24,-48.67,73.4,73,75,14.99,1608585183
mulege,26.88,-111.98,71.82,27,7,11.43,1608585183
necochea,-38.55,-58.74,69.08,47,8,11.61,1608585184
la asuncion,11.03,-63.86,80.76,79,97,15.19,1608585184
fairbanks,64.84,-147.72,-4.0,76,40,3.56,1608585118
lewisporte,49.25,-55.05,33.8,89,90,18.34,1608585184
troitsk,54.1,61.58,15.69,96,98,9.8,1608585184
bud,39.45,-86.18,48.0,70,75,13.87,1608585184
mezen,65.85,44.24,35.85,96,100,8.59,1608585184
praia da vitoria,38.73,-27.07,61.0,72,40,19.37,1608585062
faanui,-16.48,-151.75,75.47,87,100,10.83,1608585184
qasigiannguit,68.82,-51.19,21.2,44,79,17.22,1608585185
barrow,71.29,-156.79,-20.2,68,1,10.29,1608585185
san patricio,28.02,-97.52,77.0,33,75,5.82,1608585185
dongsheng,39.82,109.98,13.68,91,0,9.6,1608585188
talnakh,69.49,88.4,-41.8,64,4,17.9,1608585188
san miguel,13.48,-88.18,95.0,44,20,3.36,1608585188
hasaki,35.73,140.83,26.6,86,20,6.93,1608585188
marienburg,54.04,19.03,36.0,100,100,8.28,1608584986
polson,47.69,-114.16,39.0,35,100,6.22,1608585087
axim,4.87,-2.24,80.02,81,0,7.16,1608585188
grindavik,63.84,-22.43,32.0,84,0,21.92,1608585188
tabuk,17.42,121.44,71.91,93,100,4.76,1608585188
kuching,1.55,110.33,75.2,100,40,3.53,1608585081
cockburn town,21.46,-71.14,82.4,69,20,9.17,1608585045
nouadhibou,20.93,-17.03,69.8,49,0,9.17,1608585189
muisne,0.6,-80.03,84.2,74,40,10.29,1608585189
kruisfontein,-34.0,24.73,69.01,94,100,3.0,1608585189
beringovskiy,63.05,179.32,-11.81,91,90,17.98,1608585189
jimma,7.67,36.83,62.96,70,58,1.45,1608585189
ribeira grande,38.52,-28.7,60.8,77,75,28.86,1608585189
henties bay,-22.12,14.28,64.99,89,16,3.0,1608585189
pevek,69.7,170.31,-14.44,90,84,3.53,1608585189
kunya,12.22,8.53,69.8,43,0,5.59,1608585189
ulaangom,49.98,92.07,-7.49,84,97,0.98,1608585190
huichapan,20.38,-99.65,73.4,31,40,4.7,1608585190
kyabram,-36.32,145.05,60.01,79,13,1.01,1608585190
cosala,24.41,-106.69,75.99,68,35,8.01,1608585190
tilichiki,60.47,166.1,-24.3,89,14,12.88,1608585190
baft,29.23,56.61,36.79,72,0,3.67,1608585190
ilulissat,69.22,-51.1,21.2,44,97,17.22,1608585190
nunchia,5.64,-72.2,88.07,45,80,7.56,1608585190
kieta,-6.22,155.63,82.44,73,4,1.34,1608585190
amuntai,-2.42,115.25,74.3,97,100,2.35,1608585191
new ulm,44.31,-94.46,36.0,55,1,32.21,1608585191
shenjiamen,29.96,122.3,46.85,67,0,5.26,1608585191
leshukonskoye,64.9,45.76,35.73,97,100,7.65,1608585191
puerto colombia,10.99,-74.95,87.8,66,20,8.05,1608584910
plast,54.37,60.81,16.86,92,100,9.51,1608585191
lucea,18.45,-78.17,84.2,70,20,17.22,1608585191
verkhoyansk,67.54,133.38,-44.3,76,91,2.15,1608585191
abu samrah,35.3,37.18,53.2,70,100,3.76,1608585191
roald,62.58,6.13,46.4,65,75,10.29,1608585191
elizabeth city,36.29,-76.25,46.99,87,40,6.93,1608585192
chokurdakh,70.63,147.92,-20.33,88,89,6.53,1608585192
gilbues,-9.83,-45.34,76.77,80,100,1.41,1608585192
bilibino,68.05,166.44,-23.37,83,62,2.42,1608585192
yamada,39.47,141.95,30.15,94,3,5.12,1608585192
port augusta,-32.5,137.77,55.4,82,9,6.93,1608585192
kaa-khem,51.68,94.73,1.98,90,100,2.1,1608585192
fershampenuaz,53.52,59.81,8.78,89,71,10.09,1608585192
le port,-20.94,55.29,77.0,65,0,14.99,1608585192
shingu,33.73,135.98,36.32,82,1,6.58,1608585192
zhigalovo,54.81,105.16,9.16,93,100,2.98,1608585192
lata,40.16,-8.33,59.0,91,93,1.01,1608585193
vohibinany,-17.35,49.03,71.01,91,34,1.05,1608585193
kununurra,-15.77,128.73,75.2,94,75,6.93,1608585196
jieshi,22.81,115.83,57.99,65,93,11.23,1608585196
salinopolis,-0.61,-47.36,80.8,74,14,10.49,1608585186
padang,-0.95,100.35,78.39,76,100,3.13,1608585196
aykhal,66.0,111.5,-36.4,65,0,4.52,1608585197
jumla,29.27,82.18,41.0,44,94,3.71,1608585197
yatou,37.15,122.38,30.24,86,0,4.23,1608585197
fare,-16.7,-151.02,74.97,86,100,1.72,1608585197
shibetsu,43.66,145.13,24.01,92,61,7.34,1608585185
tasiilaq,65.61,-37.64,23.0,73,100,5.82,1608585197
annapolis,38.98,-76.49,46.99,100,1,9.17,1608584942
olinda,-8.01,-34.86,78.8,65,40,9.17,1608584982
krasnoarmeysk,51.02,45.7,10.99,67,0,1.01,1608585198
altay,47.87,88.12,-2.22,75,35,3.62,1608585198
port hedland,-20.32,118.57,78.8,94,35,3.36,1608585198
bambanglipuro,-7.95,110.28,77.02,84,99,4.0,1608585198
puerto quijarro,-17.78,-57.77,99.52,32,71,7.02,1608585198
magnolia,33.27,-93.24,66.99,37,1,5.82,1608585198
alirajpur,22.3,74.35,61.68,31,0,6.89,1608585198
kamaishi,39.27,141.88,32.95,91,21,6.15,1608585199
richards bay,-28.78,32.04,75.0,89,97,5.88,1608585199
atuona,-9.8,-139.03,78.17,77,1,12.5,1608585199
seoul,37.57,126.98,30.2,80,90,1.79,1608585199
dzerzhinsk,56.24,43.46,26.01,85,75,11.18,1608585199
lakes entrance,-37.88,147.98,64.0,93,82,6.44,1608585199
pimenta bueno,-11.67,-61.19,77.14,91,97,2.13,1608585199
urengoy,65.97,78.37,-40.79,80,28,8.14,1608585199
vestmannaeyjar,63.44,-20.27,36.64,79,98,9.89,1608585199
lorengau,-2.02,147.27,81.28,82,100,11.16,1608585199
biak,-0.91,122.88,78.91,76,100,2.21,1608585199
ugoofaaru,5.67,73.0,80.02,85,100,23.58,1608585200
port hardy,50.7,-127.42,42.8,86,75,5.82,1608585200
ust-ordynskiy,52.8,104.75,10.4,92,20,2.24,1608585200
onega,63.91,38.14,36.01,94,100,9.73,1608585200
cap malheureux,-19.98,57.61,78.01,78,1,8.01,1608585200
yerbogachen,61.28,108.01,-16.42,87,94,4.76,1608585200
nanortalik,60.14,-45.24,23.31,91,100,4.0,1608585200
laurel,39.1,-76.85,48.99,65,90,2.21,1608585201
shaunavon,49.65,-108.42,30.2,74,100,5.82,1608585201
sawakin,19.11,37.33,77.88,80,77,7.61,1608585201
fortuna,40.6,-124.16,61.0,82,90,5.82,1608585180
nusaybin,37.08,41.22,50.41,58,100,5.39,1608585201
rognan,67.1,15.39,39.2,91,0,13.87,1608585201
castro,-24.79,-50.01,72.95,90,59,5.55,1608585201
buchanan,5.88,-10.05,79.38,82,66,5.64,1608585202
meadow lake,34.8,-106.54,53.01,25,1,10.29,1608585188
magadan,59.57,150.8,0.1,87,100,12.84,1608585203
ocean city,39.28,-74.57,41.0,80,75,10.29,1608585011
anadyr,64.75,177.48,-20.0,75,0,4.47,1608585203
ratnagiri,16.98,73.3,71.37,33,20,5.14,1608585203
thinadhoo,0.53,72.93,81.84,80,100,14.67,1608585203
morgan city,29.7,-91.21,68.0,45,1,3.22,1608585171
along,28.17,94.77,47.01,55,0,1.68,1608585203
college,64.86,-147.8,-4.0,82,40,3.36,1608585203
vila velha,-20.33,-40.29,82.4,74,20,23.04,1608585160
vestmanna,62.16,-7.17,42.8,87,100,4.7,1608585204
kjollefjord,70.95,27.35,37.4,84,99,6.93,1608585204
nisia floresta,-6.09,-35.21,82.4,69,40,16.11,1608585204
kralendijk,12.15,-68.27,82.4,78,2,18.34,1608585204
bluefields,12.01,-83.76,82.4,74,40,4.7,1608585204
gondar,12.6,37.47,60.6,49,40,4.61,1608585205
kaeo,-35.1,173.78,72.0,73,100,7.0,1608585205
la brea,15.8,-85.97,86.0,62,40,4.7,1608585205
gibraleon,37.38,-6.97,55.99,68,0,1.99,1608585205
toora-khem,52.47,96.11,4.59,92,100,3.0,1608585205
livingstonia,-10.61,34.11,66.13,84,42,2.66,1608585205
broken hill,-31.95,141.43,53.6,81,2,12.75,1608585205
bolshevik,54.01,27.57,26.6,100,90,13.42,1608585206
quelimane,-17.88,36.89,79.07,87,9,4.12,1608585206
lamu,-2.27,40.9,80.6,83,20,5.82,1608585206
hobyo,5.35,48.53,80.19,77,100,21.32,1608585206
belmonte,-15.86,-38.88,82.4,83,75,9.17,1608585206
slavonski brod,45.16,18.02,39.0,97,59,2.1,1608585206
fremont,37.55,-121.99,59.0,51,0,1.01,1608585206
guerrero negro,27.98,-114.06,77.05,17,0,5.55,1608585206
aksu,41.12,80.26,16.39,90,88,2.86,1608585206
lagoa,39.05,-27.98,60.21,80,91,24.61,1608585207
panzhihua,26.59,101.71,45.75,75,21,1.3,1608585207
abu kamal,34.45,40.92,55.63,53,19,9.86,1608585207
san cristobal,7.77,-72.22,87.8,55,40,11.41,1608585008
isla mujeres,21.23,-86.73,79.0,78,75,6.93,1608585207
barcelona,41.39,2.16,55.99,76,0,5.82,1608584951
qingdao,36.1,120.37,35.01,92,0,2.24,1608585062
omboue,-1.57,9.26,76.24,90,100,4.68,1608585207
gadwal,16.23,77.8,61.63,66,14,3.02,1608585207
calabozo,8.92,-67.43,87.96,53,99,4.59,1608584957
bolitoc,15.74,119.88,77.54,75,100,4.59,1608585208
velyka mykhaylivka,47.08,29.85,29.07,93,29,4.83,1608585208
pakxan,18.38,103.66,52.11,70,17,4.83,1608585208
mogadishu,2.04,45.34,79.83,83,57,19.13,1608585208
akureyri,65.68,-18.09,28.4,79,90,9.17,1608585208
chirongui,-12.93,45.15,82.4,78,20,8.05,1608585208
tacoronte,28.48,-16.41,63.0,80,39,7.63,1608585208
valparaiso,-33.04,-71.63,68.0,56,0,6.93,1608584909
ovsyanka,55.96,92.55,5.0,71,40,17.9,1608585209
bom jesus,-9.07,-44.36,78.03,77,100,1.95,1608585209
andapa,-14.65,49.65,67.96,91,53,1.5,1608585209
khalkhal,37.62,48.53,25.47,89,1,2.19,1608585209
weinan,34.5,109.51,33.01,92,0,4.47,1608585209
manicore,-5.81,-61.3,83.21,74,100,1.92,1608585209
haapiti,-17.57,-149.87,80.6,78,75,11.41,1608585209
burgeo,47.62,-57.62,40.19,94,100,23.82,1608585209
recarei,41.15,-8.41,59.0,93,75,14.99,1608585209
kotma,23.2,81.97,49.89,48,0,1.79,1608585209
namatanai,-3.67,152.43,81.18,78,83,1.57,1608585210
galesong,-5.32,119.37,73.4,100,40,5.82,1608585210
northam,51.03,-4.22,54.0,99,100,15.99,1608585210
tawang,27.58,91.87,35.22,78,0,2.42,1608585210
montevideo,-34.83,-56.17,68.0,45,0,10.29,1608585210
ayan,56.45,138.17,0.23,82,75,13.09,1608585210
bereznik,62.86,42.71,35.46,95,100,8.1,1608585210
iwaki,37.05,140.88,35.01,82,18,1.01,1608585191
martapura,-3.42,114.85,77.0,94,90,1.12,1608585210
black river,18.03,-77.85,84.2,70,20,17.22,1608585211
mount hagen,-5.86,144.23,60.8,93,75,4.7,1608585211
atar,20.52,-13.05,66.29,27,0,13.94,1608585211
jiutai,44.15,125.83,19.4,67,0,11.18,1608585211
porto novo,6.5,2.6,82.4,88,20,10.29,1608585211
pallisa,1.15,33.71,73.04,61,84,2.37,1608585211
andros town,24.7,-77.77,80.6,65,20,9.17,1608585211
rio gallegos,-51.62,-69.22,62.6,17,75,17.22,1608585172
srednekolymsk,67.45,153.68,-39.53,81,93,6.49,1608585211
honiara,-9.43,159.95,78.8,88,40,3.36,1608584992
kenora,49.82,-94.43,10.4,72,75,2.24,1608585211
port blair,11.67,92.75,77.99,78,4,12.48,1608585212
saint george,37.1,-113.58,59.0,27,1,2.64,1608585204
ixtapa,20.7,-105.2,77.0,61,20,11.41,1608585212
bolgatanga,10.79,-0.85,79.45,17,0,4.56,1608585212
luoyang,34.68,112.45,36.0,99,0,2.64,1608585212
ananas,19.25,-71.96,82.4,65,20,9.17,1608585212
prince rupert,54.32,-130.32,42.8,76,40,9.17,1608585079
abha,18.22,42.51,57.2,93,0,1.28,1608585212
mackay,-21.15,149.2,82.4,74,90,11.41,1608585212
waitati,-45.75,170.57,57.0,94,100,5.01,1608585212
